county_fips,county,state,date,cases,deaths,data_input_date,edited,local_pub_health_url,notes
06001,​Alameda​,California,3/25/2020,,,,,,
06003,​Alpine,California,3/25/2020,,,,,,
06005,​Amador,California,3/25/2020,,,,,,
06007,​Butte,California,3/25/2020,,,,,,
06009,​Calaveras,California,3/25/2020,,,,,,
06011,​Colusa,California,3/25/2020,,,,,,
06013,​Contra Costa,California,3/25/2020,,,,,,
06015,​Del Norte,California,3/25/2020,,,,,,
06017,​El Dorado,California,3/25/2020,,,,,,
06019,​Fresno,California,3/25/2020,,,,,,
06021,​Glenn,California,3/25/2020,,,,,,
06023,​Humboldt,California,3/25/2020,,,,,,
06025,​Imperial,California,3/25/2020,,,,,,
06027,​Inyo,California,3/25/2020,,,,,,
06029,​Kern,California,3/25/2020,,,,,,
06031,​Kings,California,3/25/2020,,,,,,
06033,​Lake,California,3/25/2020,,,,,,
06035,​Lassen,California,3/25/2020,,,,,,
06037,​Los Angeles,California,3/25/2020,,,,,,
06039,​Madera,California,3/25/2020,,,,,,
06041,​Marin,California,3/25/2020,,,,,,
06043,​Mariposa,California,3/25/2020,,,,,,
06045,​Mendocino,California,3/25/2020,,,,,,
06047,​Merced,California,3/25/2020,,,,,,
06049,​Modoc,California,3/25/2020,,,,,,
06051,​Mono,California,3/25/2020,,,,,,
06053,​Monterey,California,3/25/2020,,,,,,
06055,​Napa,California,3/25/2020,,,,,,
06057,​Nevada,California,3/25/2020,,,,,,
06059,​Orange,California,3/25/2020,,,,,,
06061,​Placer,California,3/25/2020,,,,,,
06063,​Plumas,California,3/25/2020,,,,,,
06065,​Riverside,California,3/25/2020,,,,,,
06067,​Sacramento,California,3/25/2020,,,,,,
06069,​San Benito,California,3/25/2020,,,,,,
06071,​San Bernardino,California,3/25/2020,,,,,,
06073,​San Diego,California,3/25/2020,,,,,,
06075,​San Francisco,California,3/25/2020,,,,,,
06077,​San Joaquin,California,3/25/2020,,,,,,
06079,San Luis Obispo​,California,3/25/2020,,,,,,
06081,​San Mateo,California,3/25/2020,,,,,,
06083,​Santa Barbara,California,3/25/2020,,,,,,
06085,​Santa Clara,California,3/25/2020,,,,,,
06087,Santa Cruz​,California,3/25/2020,,,,,,
06089,​Shasta,California,3/25/2020,,,,,,
06091,​Sierra,California,3/25/2020,,,,,,
06093,​Siskiyou,California,3/25/2020,,,,,,
06095,​Solano,California,3/25/2020,,,,,,
06097,​Sonoma,California,3/25/2020,,,,,,
06099,​Stanislaus,California,3/25/2020,,,,,,
06101/06115,​Sutter/Yuba,California,3/25/2020,,,,,,
06103,​Tehama,California,3/25/2020,,,,,,
06105,​Trinity,California,3/25/2020,,,,,,
06107,​Tulare,California,3/25/2020,,,,,,
06109,​Tuolumne,California,3/25/2020,,,,,,
06111,​Ventura,California,3/25/2020,,,,,,
06113,​Yolo,California,3/25/2020,,,,,,
06001,​Alameda​,California,3/24/2020,135,2,3/24/2020 16:08:24,,http://www.acphd.org/2019-ncov.aspx,"this includes Berkeley, check here https://www.cityofberkeley.info/coronavirus/"
06003,​Alpine,California,3/24/2020,0,0,3/24/2020 16:09:03,,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,3/24/2020,2,0,3/24/2020 16:10:10,,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,3/24/2020,4,0,3/24/2020 16:12:38,,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,3/24/2020,2,0,3/24/2020 16:16:24,,https://covid19.calaverasgov.us/,
06011,​Colusa,California,3/24/2020,0,0,3/24/2020 16:17:18,,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,3/24/2020,86,1,03/24/2020 16:18:36,,https://www.contracostahealth.org/,
06015,​Del Norte,California,3/24/2020,0,0,03/24/2020 16:20:17,,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,3/24/2020,3,0,03/24/2020 16:20:51,,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx,
06019,​Fresno,California,3/24/2020,13,0,03/24/3030 16:21:26,,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,3/24/2020,0,0,03/24/2020 16:21:53,,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,3/24/2020,4,0,3/24/2020 16:22:43,,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,3/24/2020,6,0,3/24/2020 16:25:40,,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,3/24/2020,0,0,3/24/3030 16:35:03,,https://www.inyocounty.us/covid-19/local-updates,
06029,​Kern,California,3/24/2020,15,0,3/24/2020 16:41:54,,https://kernpublichealth.com/2019-novel-coronavirus/,
06031,​Kings,California,3/24/2020,0,0,3/24/2020 16:48:38,,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,3/24/2020,0,0,3/24/2020 20:25:20,,http://health.co.lake.ca.us/Coronavirus.htm,PDF 'dashboard' posted 4 p.m. or later daily
06035,​Lassen,California,3/24/2020,0,0,3/24/3030 16:50:51,,http://www.co.lassen.ca.us/dept/public-health/public-health,
06037,​Los Angeles,California,3/24/2020,662,11,3/24/2020 16:51:15,,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,3/24/2020,6,0,3/24/2020 16:51:47,,https://www.maderacounty.com/government/public-health/health-updates/corona-virus,
06041,​Marin,California,3/24/2020,53,0,3/24/2020 19:05:59,,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,3/24/2020,0,0,3/24/2020 16:58:51,,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,3/24/2020,2,0,3/24/2020 17:03:48,,https://www.mendocinocounty.org/community/novel-coronavirus,
