date,fips,county,cases,deaths
2020-02-09,39089,Licking,0.0,0.0
2020-02-10,39089,Licking,0.0,0.0
2020-02-11,39089,Licking,0.0,0.0
2020-02-12,39089,Licking,0.0,0.0
2020-02-13,39089,Licking,0.0,0.0
2020-02-14,39089,Licking,0.0,0.0
2020-02-15,39089,Licking,0.0,0.0
2020-02-16,39089,Licking,0.0,0.0
2020-02-17,39089,Licking,0.0,0.0
2020-02-18,39089,Licking,0.0,0.0
2020-02-19,39089,Licking,0.0,0.0
2020-02-20,39089,Licking,0.0,0.0
2020-02-21,39089,Licking,0.0,0.0
2020-02-22,39089,Licking,0.0,0.0
2020-02-23,39089,Licking,0.0,0.0
2020-02-24,39089,Licking,0.0,0.0
2020-02-25,39089,Licking,0.0,0.0
2020-02-26,39089,Licking,0.0,0.0
2020-02-27,39089,Licking,0.0,0.0
2020-02-28,39089,Licking,0.0,0.0
2020-02-29,39089,Licking,0.0,0.0
2020-03-01,39089,Licking,1.0,0.0
2020-03-02,39089,Licking,1.0,0.0
2020-03-03,39089,Licking,1.0,0.0
2020-03-04,39089,Licking,1.0,0.0
2020-03-05,39089,Licking,1.0,0.0
2020-03-06,39089,Licking,2.0,0.0
2020-03-07,39089,Licking,2.0,0.0
2020-03-08,39089,Licking,2.0,0.0
2020-03-09,39089,Licking,2.0,0.0
2020-03-10,39089,Licking,3.0,0.0
2020-03-11,39089,Licking,3.0,0.0
2020-03-12,39089,Licking,3.0,0.0
2020-03-13,39089,Licking,6.0,1.0
2020-03-14,39089,Licking,7.0,1.0
2020-03-15,39089,Licking,10.0,1.0
2020-03-16,39089,Licking,11.0,1.0
2020-03-17,39089,Licking,13.0,1.0
2020-03-18,39089,Licking,14.0,1.0
2020-03-19,39089,Licking,18.0,1.0
2020-03-20,39089,Licking,21.0,1.0
2020-03-21,39089,Licking,24.0,1.0
2020-03-22,39089,Licking,29.0,1.0
2020-03-23,39089,Licking,32.0,2.0
2020-03-24,39089,Licking,34.0,2.0
2020-03-25,39089,Licking,41.0,2.0
2020-03-26,39089,Licking,44.0,2.0
2020-03-27,39089,Licking,45.0,2.0
2020-03-28,39089,Licking,49.0,2.0
2020-03-29,39089,Licking,52.0,2.0
2020-03-30,39089,Licking,56.0,2.0
2020-03-31,39089,Licking,60.0,2.0
2020-04-01,39089,Licking,67.0,2.0
2020-04-02,39089,Licking,69.0,3.0
2020-04-03,39089,Licking,74.0,3.0
2020-04-04,39089,Licking,76.0,3.0
2020-04-05,39089,Licking,77.0,3.0
2020-04-06,39089,Licking,81.0,3.0
2020-04-07,39089,Licking,83.0,3.0
2020-04-08,39089,Licking,84.0,3.0
2020-04-09,39089,Licking,85.0,3.0
2020-04-10,39089,Licking,86.0,3.0
2020-04-11,39089,Licking,86.0,3.0
2020-04-12,39089,Licking,86.0,3.0
2020-04-13,39089,Licking,86.0,3.0
2020-01-21,39091,Logan,0.0,0.0
2020-01-22,39091,Logan,0.0,0.0
2020-01-23,39091,Logan,0.0,0.0
2020-01-24,39091,Logan,0.0,0.0
2020-01-25,39091,Logan,0.0,0.0
2020-01-26,39091,Logan,0.0,0.0
2020-01-27,39091,Logan,0.0,0.0
2020-01-28,39091,Logan,0.0,0.0
