date,fips,county,cases,deaths,local_pub_health_url
2020-01-21,06091,Sierra County,0.0,0.0,0
2020-01-21,06067,Sacramento County,0.0,0.0,0
2020-01-21,06083,Santa Barbara County,0.0,0.0,0
2020-01-21,06009,Calaveras County,0.0,0.0,0
2020-01-21,06111,Ventura County,0.0,0.0,0
2020-01-21,06037,Los Angeles County,0.0,0.0,0
2020-01-21,06097,Sonoma County,0.0,0.0,0
2020-01-21,06031,Kings County,0.0,0.0,0
2020-01-21,06073,San Diego County,0.0,0.0,0
2020-01-21,06061,Placer County,0.0,0.0,0
2020-01-21,06075,San Francisco County,0.0,0.0,0
2020-01-21,06041,Marin County,0.0,0.0,0
2020-01-21,06043,Mariposa County,0.0,0.0,0
2020-01-21,06035,Lassen County,0.0,0.0,0
2020-01-21,06055,Napa County,0.0,0.0,0
2020-01-21,06089,Shasta County,0.0,0.0,0
2020-01-21,06053,Monterey County,0.0,0.0,0
2020-01-21,06105,Trinity County,0.0,0.0,0
2020-01-21,06045,Mendocino County,0.0,0.0,0
2020-01-21,06027,Inyo County,0.0,0.0,0
2020-01-21,06051,Mono County,0.0,0.0,0
2020-01-21,06109,Tuolumne County,0.0,0.0,0
2020-01-21,06095,Solano County,0.0,0.0,0
2020-01-21,06071,San Bernardino County,0.0,0.0,0
2020-01-21,06013,Contra Costa County,0.0,0.0,0
2020-01-21,06003,Alpine County,0.0,0.0,0
2020-01-21,06017,El Dorado County,0.0,0.0,0
2020-01-21,06113,Yolo County,0.0,0.0,0
2020-01-21,06115,Yuba County,0.0,0.0,0
2020-01-21,06069,San Benito County,0.0,0.0,0
2020-01-21,06023,Humboldt County,0.0,0.0,0
2020-01-21,06065,Riverside County,0.0,0.0,0
2020-01-21,06029,Kern County,0.0,0.0,0
2020-01-21,06011,Colusa County,0.0,0.0,0
2020-01-21,06015,Del Norte County,0.0,0.0,0
2020-01-21,06049,Modoc County,0.0,0.0,0
2020-01-21,06019,Fresno County,0.0,0.0,0
2020-01-21,06039,Madera County,0.0,0.0,0
2020-01-21,06085,Santa Clara County,0.0,0.0,0
2020-01-21,06103,Tehama County,0.0,0.0,0
2020-01-21,06077,San Joaquin County,0.0,0.0,0
2020-01-21,06001,Alameda County,0.0,0.0,0
2020-01-21,06057,Nevada County,0.0,0.0,0
2020-01-21,06007,Butte County,0.0,0.0,0
2020-01-21,06047,Merced County,0.0,0.0,0
2020-01-21,06107,Tulare County,0.0,0.0,0
2020-01-21,06099,Stanislaus County,0.0,0.0,0
2020-01-21,06059,Orange County,0.0,0.0,0
2020-01-21,06025,Imperial County,0.0,0.0,0
2020-01-21,06101,Sutter County,0.0,0.0,0
2020-01-21,06005,Amador County,0.0,0.0,0
2020-01-21,06033,Lake County,0.0,0.0,0
2020-01-21,06063,Plumas County,0.0,0.0,0
2020-01-21,06081,San Mateo County,0.0,0.0,0
2020-01-21,06093,Siskiyou County,0.0,0.0,0
2020-01-21,06087,Santa Cruz County,0.0,0.0,0
2020-01-21,06021,Glenn County,0.0,0.0,0
2020-01-21,06079,San Luis Obispo County,0.0,0.0,0
2020-01-22,06091,Sierra County,0.0,0.0,0
2020-01-22,06067,Sacramento County,0.0,0.0,0
2020-01-22,06083,Santa Barbara County,0.0,0.0,0
2020-01-22,06009,Calaveras County,0.0,0.0,0
2020-01-22,06111,Ventura County,0.0,0.0,0
2020-01-22,06037,Los Angeles County,0.0,0.0,0
2020-01-22,06097,Sonoma County,0.0,0.0,0
2020-01-22,06031,Kings County,0.0,0.0,0
2020-01-22,06073,San Diego County,0.0,0.0,0
2020-01-22,06061,Placer County,0.0,0.0,0
2020-01-22,06075,San Francisco County,0.0,0.0,0
2020-01-22,06041,Marin County,0.0,0.0,0
2020-01-22,06043,Mariposa County,0.0,0.0,0
2020-01-22,06035,Lassen County,0.0,0.0,0
2020-01-22,06055,Napa County,0.0,0.0,0
2020-01-22,06089,Shasta County,0.0,0.0,0
2020-01-22,06053,Monterey County,0.0,0.0,0
2020-01-22,06105,Trinity County,0.0,0.0,0
2020-01-22,06045,Mendocino County,0.0,0.0,0
2020-01-22,06027,Inyo County,0.0,0.0,0
2020-01-22,06051,Mono County,0.0,0.0,0
2020-01-22,06109,Tuolumne County,0.0,0.0,0
2020-01-22,06095,Solano County,0.0,0.0,0
2020-01-22,06071,San Bernardino County,0.0,0.0,0
2020-01-22,06013,Contra Costa County,0.0,0.0,0
2020-01-22,06003,Alpine County,0.0,0.0,0
2020-01-22,06017,El Dorado County,0.0,0.0,0
2020-01-22,06113,Yolo County,0.0,0.0,0
2020-01-22,06115,Yuba County,0.0,0.0,0
2020-01-22,06069,San Benito County,0.0,0.0,0
2020-01-22,06023,Humboldt County,0.0,0.0,0
2020-01-22,06065,Riverside County,0.0,0.0,0
2020-01-22,06029,Kern County,0.0,0.0,0
2020-01-22,06011,Colusa County,0.0,0.0,0
2020-01-22,06015,Del Norte County,0.0,0.0,0
2020-01-22,06049,Modoc County,0.0,0.0,0
2020-01-22,06019,Fresno County,0.0,0.0,0
2020-01-22,06039,Madera County,0.0,0.0,0
2020-01-22,06085,Santa Clara County,0.0,0.0,0
2020-01-22,06103,Tehama County,0.0,0.0,0
2020-01-22,06077,San Joaquin County,0.0,0.0,0
2020-01-22,06001,Alameda County,0.0,0.0,0
2020-01-22,06057,Nevada County,0.0,0.0,0
2020-01-22,06007,Butte County,0.0,0.0,0
2020-01-22,06047,Merced County,0.0,0.0,0
2020-01-22,06107,Tulare County,0.0,0.0,0
2020-01-22,06099,Stanislaus County,0.0,0.0,0
