date,fips,county,cases,deaths
2020-01-21,39063,Hancock County,0.0,0.0
2020-01-21,39003,Allen County,0.0,0.0
2020-01-21,39085,Lake County,0.0,0.0
2020-01-21,39047,Fayette County,0.0,0.0
2020-01-21,39017,Butler County,0.0,0.0
2020-01-21,39115,Morgan County,0.0,0.0
2020-01-21,39133,Portage County,0.0,0.0
2020-01-21,39145,Scioto County,0.0,0.0
2020-01-21,39163,Vinton County,0.0,0.0
2020-01-21,39125,Paulding County,0.0,0.0
2020-01-21,39069,Henry County,0.0,0.0
2020-01-21,39051,Fulton County,0.0,0.0
2020-01-21,39015,Brown County,0.0,0.0
2020-01-21,39091,Logan County,0.0,0.0
2020-01-21,39155,Trumbull County,0.0,0.0
2020-01-21,39131,Pike County,0.0,0.0
2020-01-21,39111,Monroe County,0.0,0.0
2020-01-21,39087,Lawrence County,0.0,0.0
2020-01-21,39001,Adams County,0.0,0.0
2020-01-21,39033,Crawford County,0.0,0.0
2020-01-21,39059,Guernsey County,0.0,0.0
2020-01-21,39161,Van Wert County,0.0,0.0
2020-01-21,39129,Pickaway County,0.0,0.0
2020-01-21,39119,Muskingum County,0.0,0.0
2020-01-21,39139,Richland County,0.0,0.0
2020-01-21,39021,Champaign County,0.0,0.0
2020-01-21,39169,Wayne County,0.0,0.0
2020-01-21,39123,Ottawa County,0.0,0.0
2020-01-21,39067,Harrison County,0.0,0.0
2020-01-21,39023,Clark County,0.0,0.0
2020-01-21,39073,Hocking County,0.0,0.0
2020-01-21,39109,Miami County,0.0,0.0
2020-01-21,39041,Delaware County,0.0,0.0
2020-01-21,39037,Darke County,0.0,0.0
2020-01-21,39057,Greene County,0.0,0.0
2020-01-21,39005,Ashland County,0.0,0.0
2020-01-21,39095,Lucas County,0.0,0.0
2020-01-21,39007,Ashtabula County,0.0,0.0
2020-01-21,39135,Preble County,0.0,0.0
2020-01-21,39079,Jackson County,0.0,0.0
2020-01-21,39151,Stark County,0.0,0.0
2020-01-21,39099,Mahoning County,0.0,0.0
2020-01-21,39157,Tuscarawas County,0.0,0.0
2020-01-21,39071,Highland County,0.0,0.0
2020-01-21,39117,Morrow County,0.0,0.0
2020-01-21,39101,Marion County,0.0,0.0
2020-01-21,39127,Perry County,0.0,0.0
2020-01-21,39043,Erie County,0.0,0.0
2020-01-21,39027,Clinton County,0.0,0.0
2020-01-21,39093,Lorain County,0.0,0.0
2020-01-21,39039,Defiance County,0.0,0.0
2020-01-21,39009,Athens County,0.0,0.0
2020-01-21,39081,Jefferson County,0.0,0.0
2020-01-21,39143,Sandusky County,0.0,0.0
2020-01-21,39113,Montgomery County,0.0,0.0
2020-01-21,39011,Auglaize County,0.0,0.0
2020-01-21,39055,Geauga County,0.0,0.0
2020-01-21,39061,Hamilton County,0.0,0.0
2020-01-21,39075,Holmes County,0.0,0.0
2020-01-21,39029,Columbiana County,0.0,0.0
2020-01-21,39019,Carroll County,0.0,0.0
2020-01-21,39013,Belmont County,0.0,0.0
2020-01-21,39141,Ross County,0.0,0.0
